chi_0,chi
-81.21812,NaN
-81.19812,NaN
-81.17812,NaN
-81.15812,NaN
-81.13811,NaN
-81.11811,NaN
-81.09811,NaN
-81.07811,NaN
-81.05811,NaN
-81.03810,NaN
-81.01810,NaN
-80.99810,NaN
-80.97810,NaN
-80.95810,NaN
-80.93810,NaN
-80.91809,NaN
-80.89809,NaN
-80.87809,NaN
-80.85809,NaN
-80.83809,NaN
-80.81808,NaN
-80.79808,NaN
-80.77808,NaN
-80.75807,NaN
-80.73808,NaN
-80.71807,NaN
-80.69807,NaN
-80.67807,NaN
-80.65807,NaN
-80.63806,NaN
-80.61806,NaN
-80.59806,NaN
-80.57806,NaN
-80.55806,NaN
-80.53806,NaN
-80.51805,NaN
-80.49805,NaN
-80.47805,NaN
-80.45805,NaN
-80.43804,NaN
-80.41805,NaN
-80.39804,NaN
-80.37804,NaN
-80.35803,NaN
-80.33804,NaN
-80.31803,NaN
-80.29803,NaN
-80.27803,NaN
-80.25803,NaN
-80.23802,NaN
-80.21802,NaN
-80.19802,NaN
-80.17802,NaN
-80.15802,NaN
-80.13802,NaN
-80.11801,NaN
-80.09801,NaN
-80.07800,NaN
-80.05801,NaN
-80.03800,NaN
-80.01801,NaN
-79.99800,NaN
-79.97800,NaN
-79.95799,NaN
-79.93800,NaN
-79.91799,NaN
-79.89799,NaN
-79.87799,NaN
-79.85799,NaN
-79.83798,NaN
-79.81798,NaN
-79.79798,NaN
-79.77798,NaN
-79.75798,NaN
-79.73798,NaN
-79.71797,NaN
-79.69797,NaN
-79.67796,NaN
-79.65797,NaN
-79.63796,NaN
-79.61797,NaN
-79.59796,NaN
-79.57796,NaN
-79.55795,NaN
-79.53796,NaN
-79.51795,NaN
-79.49795,NaN
-79.47795,NaN
-79.45795,NaN
-79.43794,NaN
-79.41794,NaN
-79.39794,NaN
-79.37794,NaN
-79.35793,NaN
-79.33794,NaN
-79.31793,NaN
-79.29793,NaN
-79.27792,NaN
-79.25793,NaN
-79.23792,NaN
-79.21792,NaN
-79.19792,NaN
-79.17792,NaN
-79.15791,NaN
-79.13792,NaN
-79.11791,NaN
-79.09791,NaN
-79.07791,NaN
-79.05791,NaN
-79.03790,NaN
-79.01790,NaN
-78.99790,NaN
-78.97790,NaN
-78.95789,NaN
-78.93790,NaN
-78.91789,NaN
-78.89789,NaN
-78.87788,NaN
-78.85789,NaN
-78.83788,NaN
-78.81789,NaN
-78.79788,NaN
-78.77788,NaN
-78.75787,NaN
-78.73788,NaN
-78.71787,NaN
-78.69787,NaN
-78.67787,NaN
-78.65787,NaN
-78.63786,NaN
-78.61786,NaN
-78.59786,NaN
-78.57786,NaN
-78.55785,NaN
-78.53786,NaN
-78.51785,NaN
-78.49785,NaN
-78.47784,NaN
-78.45785,NaN
-78.43784,NaN
-78.41785,NaN
-78.39784,NaN
-78.37784,NaN
-78.35783,NaN
-78.33783,NaN
-78.31783,NaN
-78.29783,NaN
-78.27783,NaN
-78.25783,NaN
-78.23782,NaN
-78.21782,NaN
-78.19782,NaN
-78.17782,NaN
-78.15781,NaN
-78.13782,NaN
-78.11781,NaN
-78.09781,NaN
-78.07780,NaN
-78.05781,NaN
-78.03780,NaN
-78.01780,NaN
-77.99780,NaN
-77.97780,NaN
-77.95779,NaN
-77.93779,NaN
-77.91779,NaN
-77.89779,NaN
-77.87779,NaN
-77.85779,NaN
-77.83778,NaN
-77.81778,NaN
-77.79778,NaN
-77.77778,NaN
-77.75777,NaN
-77.73778,NaN
-77.71777,NaN
-77.69777,NaN
-77.67776,NaN
-77.65776,NaN
-77.63776,NaN
-77.61776,NaN
-77.59776,NaN
-77.57776,NaN
-77.55775,NaN
-77.53775,NaN
-77.51775,NaN
-77.49775,NaN
-77.47775,NaN
-77.45775,NaN
-77.43774,NaN
-77.41774,NaN
-77.39774,NaN
-77.37774,NaN
-77.35773,NaN
-77.33774,NaN
-77.31773,NaN
-77.29773,NaN
-77.27773,NaN
-77.25772,NaN
-77.23772,NaN
-77.21772,NaN
-77.19772,NaN
-77.17772,NaN
-77.15771,NaN
-77.13771,NaN
-77.11771,NaN
-77.09771,NaN
-77.07771,NaN
-77.05771,NaN
-77.03770,NaN
-77.01770,NaN
-76.99770,NaN
-76.97770,NaN
-76.95770,NaN
-76.93769,NaN
-76.91769,NaN
-76.89769,NaN
-76.87769,NaN
-76.85768,NaN
-76.83768,NaN
-76.81768,NaN
-76.79768,NaN
-76.77768,NaN
-76.75768,NaN
-76.73767,NaN
-76.71767,NaN
-76.69767,NaN
-76.67767,NaN
-76.65767,NaN
-76.63766,NaN
-76.61766,NaN
-76.59766,NaN
-76.57766,NaN
-76.55766,NaN
-76.53765,NaN
-76.51765,NaN
-76.49765,NaN
-76.47765,NaN
-76.45765,NaN
-76.43764,NaN
-76.41764,NaN
-76.39764,NaN
-76.37764,NaN
-76.35764,NaN
-76.33763,NaN
-76.31763,NaN
-76.29763,NaN
-76.27763,NaN
-76.25763,NaN
-76.23763,NaN
-76.21762,NaN
-76.19762,NaN
-76.17762,NaN
-76.15762,NaN
-76.13762,NaN
-76.11761,NaN
-76.09761,NaN
-76.07761,NaN
-76.05760,NaN
-76.03761,NaN
-76.01760,NaN
-75.99760,NaN
-75.97760,NaN
-75.95760,NaN
-75.93759,NaN
-75.91759,NaN
-75.89759,NaN
-75.87759,NaN
-75.85759,NaN
-75.83759,NaN
-75.81758,NaN
-75.79758,NaN
-75.77758,NaN
-75.75758,NaN
-75.73757,NaN
-75.71758,NaN
-75.69757,NaN
-75.67757,NaN
-75.65756,NaN
-75.63757,NaN
-75.61756,NaN
-75.59756,NaN
-75.57756,NaN
-75.55756,NaN
-75.53755,NaN
-75.51755,NaN
-75.49755,NaN
-75.47755,NaN
-75.45755,NaN
-75.43755,NaN
-75.41754,NaN
-75.39754,NaN
-75.37753,NaN
-75.35754,NaN
-75.33753,NaN
-75.31754,NaN
-75.29753,NaN
-75.27753,NaN
-75.25752,NaN
-75.23752,NaN
-75.21752,NaN
-75.19752,NaN
-75.17752,NaN
-75.15752,NaN
-75.13751,NaN
-75.11751,NaN
-75.09751,NaN
-75.07751,NaN
-75.05750,NaN
-75.03751,NaN
-75.01750,NaN
-74.99750,NaN
-74.97749,NaN
-74.95750,NaN
-74.93749,NaN
-74.91750,NaN
-74.89749,NaN
-74.87749,NaN
-74.85748,NaN
-74.83749,NaN
-74.81748,NaN
-74.79748,NaN
-74.77748,NaN
-74.75748,NaN
-74.73747,NaN
-74.71747,NaN
-74.69747,NaN
-74.67747,NaN
-74.65747,NaN
-74.63747,NaN
-74.61746,NaN
-74.59746,NaN
-74.57745,NaN
-74.55746,NaN
-74.53745,NaN
-74.51746,NaN
-74.49745,NaN
-74.47745,NaN
-74.45744,NaN
-74.43744,NaN
-74.41744,NaN
-74.39744,NaN
-74.37744,NaN
-74.35744,NaN
-74.33743,NaN
-74.31743,NaN
-74.29743,NaN
-74.27743,NaN
-74.25742,NaN
-74.23743,NaN
-74.21742,NaN
-74.19742,NaN
-74.17741,NaN
-74.15742,NaN
-74.13741,NaN
-74.11742,NaN
-74.09741,NaN
-74.07741,NaN
-74.05740,NaN
-74.03740,NaN
-74.01740,NaN
-73.99740,NaN
-73.97740,NaN
-73.95740,NaN
-73.93739,NaN
-73.91739,NaN
-73.89738,NaN
-73.87739,NaN
-73.85738,NaN
-73.83739,NaN
-73.81738,NaN
-73.79738,NaN
-73.77737,NaN
-73.75737,NaN
-73.73737,NaN
-73.71737,NaN
-73.69737,NaN
-73.67737,NaN
-73.65736,NaN
-73.63736,NaN
-73.61736,NaN
-73.59736,NaN
-73.57735,NaN
-73.55736,NaN
-73.53735,NaN
-73.51735,NaN
-73.49734,NaN
-73.47735,NaN
-73.45734,NaN
-73.43735,NaN
-73.41734,NaN
-73.39734,NaN
-73.37733,NaN
-73.35733,NaN
-73.33733,NaN
-73.31733,NaN
-73.29733,NaN
-73.27733,NaN
-73.25732,NaN
-73.23732,NaN
-73.21732,NaN
-73.19732,NaN
-73.17731,NaN
-73.15732,NaN
-73.13731,NaN
-73.11731,NaN
-73.09731,NaN
-73.07731,NaN
-73.05730,NaN
-73.03730,NaN
-73.01730,NaN
-72.99730,NaN
-72.97729,NaN
-72.95729,NaN
-72.93729,NaN
-72.91729,NaN
-72.89729,NaN
-72.87729,NaN
-72.85728,NaN
-72.83728,NaN
-72.81728,NaN
-72.79728,NaN
-72.77728,NaN
-72.75728,NaN
-72.73727,NaN
-72.71727,NaN
-72.69727,NaN
-72.67727,NaN
-72.65726,NaN
-72.63726,NaN
-72.61726,NaN
-72.59726,NaN
-72.57726,NaN
-72.55725,NaN
-72.53725,NaN
-72.51725,NaN
-72.49725,NaN
-72.47725,NaN
-72.45724,NaN
-72.43724,NaN
-72.41724,NaN
-72.39724,NaN
-72.37724,NaN
-72.35724,NaN
-72.33723,NaN
-72.31723,NaN
-72.29723,NaN
-72.27723,NaN
-72.25723,NaN
-72.23722,NaN
-72.21722,NaN
-72.19722,NaN
-72.17722,NaN
-72.15721,NaN
-72.13721,NaN
-72.11721,NaN
-72.09721,NaN
