i, r, v, t, mu, chi
363, 10.00000, 30.00000, 0.27036, 48000.00000, 12.31478
364, 10.00000, 30.00000, 0.27111, 48000.00000, 12.33646
365, 10.00000, 30.00000, 0.27185, 48000.00000, 12.35803
366, 10.00000, 30.00000, 0.27260, 48000.00000, 12.37950
367, 10.00000, 30.00000, 0.27334, 48000.00000, 12.40087
368, 10.00000, 30.00000, 0.27409, 48000.00000, 12.42214
369, 10.00000, 30.00000, 0.27483, 48000.00000, 12.44331
370, 10.00000, 30.00000, 0.27558, 48000.00000, 12.46438
371, 10.00000, 30.00000, 0.27632, 48000.00000, 12.48536
372, 10.00000, 30.00000, 0.27707, 48000.00000, 12.50625
373, 10.00000, 30.00000, 0.27781, 48000.00000, 12.52705
374, 10.00000, 30.00000, 0.27856, 48000.00000, 12.54775
375, 10.00000, 30.00000, 0.27930, 48000.00000, 12.56837
376, 10.00000, 30.00000, 0.28005, 48000.00000, 12.58890
377, 10.00000, 30.00000, 0.28079, 48000.00000, 12.60935
378, 10.00000, 30.00000, 0.28154, 48000.00000, 12.62972
379, 10.00000, 30.00000, 0.28228, 48000.00000, 12.65000
380, 10.00000, 30.00000, 0.28303, 48000.00000, 12.67020
381, 10.00000, 30.00000, 0.28377, 48000.00000, 12.69033
382, 10.00000, 30.00000, 0.28451, 48000.00000, 12.71037
383, 10.00000, 30.00000, 0.28526, 48000.00000, 12.73034
384, 10.00000, 30.00000, 0.28600, 48000.00000, 12.75024
385, 10.00000, 30.00000, 0.28675, 48000.00000, 12.77006
386, 10.00000, 30.00000, 0.28749, 48000.00000, 12.78982
387, 10.00000, 30.00000, 0.28824, 48000.00000, 12.80949
388, 10.00000, 30.00000, 0.28898, 48000.00000, 12.82910
389, 10.00000, 30.00000, 0.28973, 48000.00000, 12.84865
390, 10.00000, 30.00000, 0.29047, 48000.00000, 12.86812
391, 10.00000, 30.00000, 0.29122, 48000.00000, 12.88753
392, 10.00000, 30.00000, 0.29196, 48000.00000, 12.90687
393, 10.00000, 30.00000, 0.29271, 48000.00000, 12.92615
394, 10.00000, 30.00000, 0.29345, 48000.00000, 12.94537
395, 10.00000, 30.00000, 0.29420, 48000.00000, 12.96452
396, 10.00000, 30.00000, 0.29494, 48000.00000, 12.98361
397, 10.00000, 30.00000, 0.29569, 48000.00000, 13.00265
398, 10.00000, 30.00000, 0.29643, 48000.00000, 13.02162
399, 10.00000, 30.00000, 0.29718, 48000.00000, 13.04054
400, 10.00000, 30.00000, 0.29792, 48000.00000, 13.05940
401, 10.00000, 30.00000, 0.29867, 48000.00000, 13.07820
402, 10.00000, 30.00000, 0.29941, 48000.00000, 13.09695
403, 10.00000, 30.00000, 0.30016, 48000.00000, 13.11565
404, 10.00000, 30.00000, 0.30090, 48000.00000, 13.13429
405, 10.00000, 30.00000, 0.30165, 48000.00000, 13.15288
406, 10.00000, 30.00000, 0.30239, 48000.00000, 13.17142
407, 10.00000, 30.00000, 0.30313, 48000.00000, 13.18990
408, 10.00000, 30.00000, 0.30388, 48000.00000, 13.20834
409, 10.00000, 30.00000, 0.30462, 48000.00000, 13.22673
410, 10.00000, 30.00000, 0.30537, 48000.00000, 13.24507
411, 10.00000, 30.00000, 0.30611, 48000.00000, 13.26337
412, 10.00000, 30.00000, 0.30686, 48000.00000, 13.28161
413, 10.00000, 30.00000, 0.30760, 48000.00000, 13.29981
414, 10.00000, 30.00000, 0.30835, 48000.00000, 13.31797
415, 10.00000, 30.00000, 0.30909, 48000.00000, 13.33609
416, 10.00000, 30.00000, 0.30984, 48000.00000, 13.35415
417, 10.00000, 30.00000, 0.31058, 48000.00000, 13.37218
418, 10.00000, 30.00000, 0.31133, 48000.00000, 13.39016
419, 10.00000, 30.00000, 0.31207, 48000.00000, 13.40811
420, 10.00000, 30.00000, 0.31282, 48000.00000, 13.42601
421, 10.00000, 30.00000, 0.31356, 48000.00000, 13.44387
