t,x,y
9.14191,102.77985,8.64801
9.13991,103.25845,8.65993
9.13791,103.73673,8.67180
9.13591,104.21498,8.68362
9.13391,104.69411,8.69544
9.13191,105.17274,8.70721
9.12991,105.65178,8.71896
9.12791,106.13103,8.73068
9.12591,106.61047,8.74236
9.12391,107.08990,8.75401
9.12191,107.56996,8.76564
9.11991,108.04985,8.77723
9.11791,108.53043,8.78881
9.11591,109.01073,8.80034
9.11391,109.49126,8.81186
9.11191,109.97215,8.82334
9.10991,110.45251,8.83475
9.10791,110.93352,8.84617
9.10591,111.41474,8.85756
9.10391,111.89651,8.86892
9.10191,112.37784,8.88023
9.09991,112.85977,8.89153
9.09791,113.34179,8.90281
9.09591,113.82387,8.91403
9.09391,114.30602,8.92523
9.09191,114.78829,8.93640
9.08991,115.27075,8.94753
9.08791,115.75331,8.95864
9.08591,116.23607,8.96971
9.08391,116.71922,8.98076
9.08191,117.20214,8.99176
9.07991,117.68546,9.00275
9.07791,118.16914,9.01372
9.07591,118.65253,9.02463
9.07391,119.13619,9.03552
9.07191,119.62001,9.04638
9.06991,120.10425,9.05723
9.06791,120.58810,9.06800
9.06591,121.07222,9.07876
9.06391,121.55662,9.08950
9.06191,122.04113,9.10019
9.05991,122.52557,9.11086
9.05791,123.01087,9.12152
9.05591,123.49539,9.13212
9.05391,123.98050,9.14269
9.05191,124.46542,9.15324
9.04990,124.95091,9.16376
9.04790,125.43619,9.17424
9.04590,125.92149,9.18468
9.04390,126.40701,9.19509
9.04190,126.89275,9.20548
9.03990,127.37875,9.21584
9.03790,127.86469,9.22617
9.03590,128.35059,9.23645
9.03390,128.83704,9.24672
9.03190,129.32320,9.25694
9.02990,129.80954,9.26714
9.02790,130.29617,9.27731
9.02590,130.78223,9.28741
9.02390,131.26898,9.29752
9.02190,131.75581,9.30758
9.01990,132.24271,9.31763
9.01790,132.72995,9.32764
9.01590,133.21692,9.33761
9.01390,133.70399,9.34754
9.01190,134.19168,9.35746
9.00990,134.67891,9.36733
9.00790,135.16571,9.37716
9.00590,135.65309,9.38696
9.00390,136.14090,9.39674
9.00190,136.62885,9.40650
8.99990,137.11649,9.41621
8.99790,137.60406,9.42588
8.99590,138.09229,9.43554
8.99390,138.57993,9.44514
8.99190,139.06810,9.45473
8.98990,139.55638,9.46428
8.98790,140.04428,9.47379
8.98590,140.53268,9.48328
8.98390,141.02054,9.49271
8.98190,141.50885,9.50212
8.97990,141.99744,9.51152
8.97790,142.48598,9.52087
8.97590,142.97433,9.53018
8.97390,143.46292,9.53947
8.97190,143.95209,9.54874
8.96990,144.44063,9.55795
8.96790,144.92943,9.56715
8.96590,145.41849,9.57631
8.96390,145.90717,9.58544
8.96190,146.39557,9.59450
8.95990,146.88449,9.60356
8.95790,147.37378,9.61257
8.95590,147.86298,9.62158
8.95390,148.35184,9.63052
8.95189,148.84105,9.63944
8.94989,149.33029,9.64834
8.94790,149.81955,9.65721
8.94589,150.30887,9.66602
8.94389,150.79803,9.67481
8.94189,151.28763,9.68358
8.93989,151.77640,9.69227
8.93789,152.26572,9.70097
8.93589,152.75510,9.70963
8.93389,153.24469,9.71825
8.93189,153.73401,9.72684
8.92989,154.22342,9.73539
8.92789,154.71304,9.74392
8.92589,155.20239,9.75240
8.92389,155.69214,9.76087
8.92189,156.18164,9.76929
8.91989,156.67076,9.77767
8.91789,157.16043,9.78601
8.91589,157.64981,9.79433
8.91389,158.13933,9.80262
8.91189,158.62909,9.81087
8.90989,159.11877,9.81911
8.90789,159.60812,9.82728
8.90589,160.09758,9.83542
8.90389,160.58743,9.84355
8.90189,161.07697,9.85163
8.89989,161.56604,9.85965
8.89789,162.05545,9.86766
8.89589,162.54503,9.87565
8.89389,163.03476,9.88360
8.89189,163.52420,9.89152
8.88989,164.01373,9.89940
8.88789,164.50331,9.90724
8.88589,164.99240,9.91504
8.88389,165.48199,9.92281
8.88189,165.97121,9.93054
8.87989,166.46094,9.93827
8.87789,166.94998,9.94593
8.87589,167.43958,9.95358
8.87389,167.92868,9.96117
8.87189,168.41795,9.96874
8.86989,168.90710,9.97627
8.86789,169.39650,9.98378
8.86589,169.88593,9.99125
8.86389,170.37502,9.99868
8.86189,170.86401,10.00607
8.85989,171.35307,10.01344
8.85789,171.84222,10.02076
8.85589,172.33124,10.02806
8.85389,172.82010,10.03531
8.85188,173.30873,10.04252
8.84988,173.79767,10.04972
8.84789,174.28638,10.05687
8.84588,174.77539,10.06400
8.84388,175.26404,10.07109
8.84188,175.75220,10.07812
8.83988,176.24103,10.08514
8.83788,176.72940,10.09211
8.83588,177.21791,10.09907
8.83388,177.70648,10.10598
8.83188,178.19476,10.11285
8.82988,178.68343,10.11971
8.82788,179.17145,10.12650
8.82588,179.65918,10.13326
8.82388,180.14761,10.14001
8.82188,180.63565,10.14671
8.81988,181.12381,10.15338
8.81788,181.61147,10.16000
8.81588,182.09877,10.16659
8.81388,182.58681,10.17315
8.81188,183.07457,10.17969
8.80988,183.56165,10.18617
8.80788,184.04968,10.19264
8.80588,184.53690,10.19905
8.80388,185.02383,10.20543
8.80188,185.51126,10.21178
8.79988,185.99844,10.21811
8.79788,186.48523,10.22437
8.79588,186.97235,10.23062
8.79388,187.45917,10.23683
8.79188,187.94589,10.24301
8.78988,188.43228,10.24913
8.78788,188.91885,10.25524
8.78588,189.40540,10.26130
