x,sinx,approx,ex
-5.41253,0.76475,1.99631,0.76341
-5.39996,0.77279,1.98843,0.77145
-5.38738,0.78071,1.98051,0.77937
-5.37481,0.78850,1.97257,0.78716
-5.36224,0.79617,1.96458,0.79484
-5.34967,0.80372,1.95656,0.80239
-5.33709,0.81114,1.94850,0.80981
-5.32452,0.81843,1.94040,0.81712
-5.31195,0.82558,1.93227,0.82429
-5.29938,0.83261,1.92410,0.83134
-5.28680,0.83951,1.91590,0.83825
-5.27423,0.84628,1.90765,0.84504
-5.26166,0.85291,1.89937,0.85169
-5.24908,0.85940,1.89106,0.85821
-5.23651,0.86576,1.88270,0.86460
-5.22394,0.87199,1.87431,0.87085
-5.21137,0.87807,1.86588,0.87697
-5.19879,0.88402,1.85741,0.88295
-5.18622,0.88983,1.84891,0.88879
-5.17365,0.89549,1.84036,0.89449
-5.16108,0.90102,1.83178,0.90005
-5.14850,0.90640,1.82316,0.90547
-5.13593,0.91164,1.81450,0.91074
-5.12336,0.91673,1.80581,0.91588
-5.11079,0.92168,1.79707,0.92086
-5.09821,0.92649,1.78830,0.92571
-5.08564,0.93115,1.77949,0.93040
-5.07307,0.93566,1.77064,0.93495
-5.06049,0.94002,1.76175,0.93936
-5.04792,0.94423,1.75282,0.94361
-5.03535,0.94830,1.74386,0.94771
-5.02278,0.95222,1.73485,0.95167
-5.01020,0.95598,1.72581,0.95547
-4.99763,0.95959,1.71672,0.95912
-4.98506,0.96306,1.70760,0.96262
-4.97249,0.96637,1.69844,0.96596
-4.95991,0.96952,1.68924,0.96915
-4.94734,0.97253,1.67999,0.97219
-4.93477,0.97538,1.67071,0.97507
-4.92220,0.97807,1.66140,0.97780
-4.90962,0.98061,1.65204,0.98037
-4.89705,0.98300,1.64264,0.98278
-4.88448,0.98523,1.63320,0.98504
-4.87190,0.98730,1.62372,0.98714
-4.85933,0.98922,1.61420,0.98909
-4.84676,0.99099,1.60464,0.99087
-4.83419,0.99259,1.59505,0.99250
-4.82161,0.99404,1.58541,0.99396
-4.80904,0.99533,1.57573,0.99527
-4.79647,0.99647,1.56601,0.99642
-4.78390,0.99744,1.55626,0.99741
-4.77132,0.99826,1.54646,0.99824
-4.75875,0.99893,1.53662,0.99891
-4.74618,0.99943,1.52674,0.99942
-4.73361,0.99977,1.51683,0.99977
-4.72103,0.99996,1.50687,0.99996
-4.70846,0.99999,1.49687,0.99999
-4.69589,0.99986,1.48683,0.99986
-4.68331,0.99958,1.47676,0.99957
-4.67074,0.99913,1.46664,0.99912
-4.65817,0.99853,1.45648,0.99851
-4.64560,0.99777,1.44628,0.99774
-4.63302,0.99685,1.43605,0.99681
-4.62045,0.99578,1.42577,0.99572
-4.60788,0.99454,1.41545,0.99447
-4.59531,0.99315,1.40509,0.99306
-4.58273,0.99161,1.39470,0.99150
-4.57016,0.98990,1.38426,0.98977
-4.55759,0.98804,1.37378,0.98789
-4.54502,0.98603,1.36327,0.98585
-4.53244,0.98385,1.35271,0.98365
