ta,ea,ma,ea2,ta2
2.83828,2.28180,1.67564,2.28180,2.83828
2.84456,2.29780,1.70007,2.29780,2.84456
2.85085,2.31390,1.72480,2.31390,2.85085
2.85714,2.33010,1.74984,2.33010,2.85714
2.86342,2.34639,1.77519,2.34639,2.86342
2.86971,2.36279,1.80084,2.36279,2.86971
2.87600,2.37928,1.82680,2.37928,2.87600
2.88228,2.39587,1.85306,2.39587,2.88228
2.88857,2.41255,1.87962,2.41255,2.88857
2.89485,2.42932,1.90648,2.42932,2.89485
2.90114,2.44619,1.93363,2.44619,2.90114
2.90743,2.46315,1.96108,2.46315,2.90743
2.91371,2.48019,1.98882,2.48019,2.91371
2.92000,2.49733,2.01684,2.49733,2.92000
2.92629,2.51455,2.04515,2.51455,2.92629
2.93257,2.53186,2.07374,2.53186,2.93257
2.93886,2.54925,2.10260,2.54925,2.93886
2.94515,2.56672,2.13174,2.56672,2.94515
2.95143,2.58427,2.16114,2.58427,2.95143
2.95772,2.60190,2.19080,2.60190,2.95772
2.96400,2.61961,2.22072,2.61961,2.96400
2.97029,2.63739,2.25090,2.63739,2.97029
2.97658,2.65524,2.28131,2.65524,2.97658
2.98286,2.67316,2.31197,2.67316,2.98286
2.98915,2.69115,2.34285,2.69115,2.98915
2.99544,2.70920,2.37397,2.70920,2.99544
3.00172,2.72732,2.40531,2.72732,3.00172
3.00801,2.74550,2.43685,2.74550,3.00801
3.01430,2.76374,2.46861,2.76374,3.01430
3.02058,2.78204,2.50056,2.78204,3.02058
3.02687,2.80039,2.53269,2.80039,3.02687
3.03315,2.81879,2.56500,2.81879,3.03315
3.03944,2.83724,2.59750,2.83724,3.03944
3.04573,2.85574,2.63015,2.85574,3.04573
3.05201,2.87428,2.66296,2.87428,3.05201
3.05830,2.89286,2.69591,2.89286,3.05830
3.06459,2.91148,2.72900,2.91148,3.06459
3.07087,2.93013,2.76222,2.93013,3.07087
3.07716,2.94882,2.79556,2.94882,3.07716
3.08344,2.96754,2.82900,2.96754,3.08344
3.08973,2.98628,2.86253,2.98628,3.08973
3.09602,3.00505,2.89616,3.00505,3.09602
3.10230,3.02384,2.92986,3.02384,3.10230
3.10859,3.04266,2.96363,3.04266,3.10859
3.11488,3.06148,2.99746,3.06148,3.11488
3.12116,3.08032,3.03133,3.08032,3.12116
3.12745,3.09917,3.06523,3.09917,3.12745
3.13374,3.11802,3.09917,3.11802,3.13374
3.14002,3.13688,3.13311,3.13688,3.14002
3.14631,-3.12745,-3.11613,-3.12745,-3.13688
3.15259,-3.10859,-3.08220,-3.10859,-3.13059
3.15888,-3.08974,-3.04828,-3.08974,-3.12431
3.16517,-3.07090,-3.01439,-3.07090,-3.11802
3.17145,-3.05206,-2.98054,-3.05206,-3.11173
3.17774,-3.03325,-2.94674,-3.03325,-3.10545
3.18403,-3.01445,-2.91300,-3.01445,-3.09916
3.19031,-2.99567,-2.87934,-2.99567,-3.09287
3.19660,-2.97691,-2.84575,-2.97691,-3.08659
3.20288,-2.95818,-2.81226,-2.95818,-3.08030
3.20917,-2.93947,-2.77887,-2.93947,-3.07401
3.21546,-2.92080,-2.74560,-2.92080,-3.06773
3.22174,-2.90216,-2.71244,-2.90216,-3.06144
3.22803,-2.88356,-2.67942,-2.88356,-3.05516
3.23432,-2.86500,-2.64653,-2.86500,-3.04887
3.24060,-2.84648,-2.61380,-2.84648,-3.04258
3.24689,-2.82801,-2.58123,-2.82801,-3.03630
3.25318,-2.80958,-2.54882,-2.80958,-3.03001
3.25946,-2.79121,-2.51660,-2.79121,-3.02372
3.26575,-2.77288,-2.48455,-2.77288,-3.01744
3.27203,-2.75461,-2.45270,-2.75461,-3.01115
3.27832,-2.73641,-2.42106,-2.73641,-3.00487
3.28461,-2.71826,-2.38961,-2.71826,-2.99858
3.29089,-2.70017,-2.35839,-2.70017,-2.99229
3.29718,-2.68214,-2.32738,-2.68214,-2.98601
3.30347,-2.66419,-2.29661,-2.66419,-2.97972
3.30975,-2.64630,-2.26607,-2.64630,-2.97343
3.31604,-2.62849,-2.23578,-2.62849,-2.96715
3.32232,-2.61074,-2.20573,-2.61074,-2.96086
3.32861,-2.59308,-2.17594,-2.59308,-2.95457
3.33490,-2.57548,-2.14640,-2.57548,-2.94829
3.34118,-2.55797,-2.11713,-2.55797,-2.94200
3.34747,-2.54054,-2.08814,-2.54054,-2.93572
3.35376,-2.52319,-2.05941,-2.52319,-2.92943
3.36004,-2.50593,-2.03096,-2.50593,-2.92314
3.36633,-2.48875,-2.00280,-2.48875,-2.91686
3.37262,-2.47166,-1.97491,-2.47166,-2.91057
