chi_0,chi
-0.84318,-5313.56152
-0.84298,-5313.46045
-0.84278,-5313.35840
-0.84258,-5313.25732
-0.84238,-5313.15576
-0.84218,-5313.05420
-0.84198,-5312.95312
-0.84178,-5312.85205
-0.84158,-5312.74902
-0.84138,-5312.64746
-0.84118,-5312.54590
-0.84098,-5312.44336
-0.84078,-5312.34180
-0.84058,-5312.23975
-0.84038,-5312.13672
-0.84018,-5312.03613
-0.83998,-5311.93262
-0.83978,-5311.83203
-0.83958,-5311.72949
-0.83938,-5311.62744
-0.83918,-5311.52441
-0.83898,-5311.42139
-0.83878,-5311.31934
-0.83858,-5311.21729
-0.83838,-5311.11426
-0.83818,-5311.01221
-0.83798,-5310.90918
-0.83778,-5310.80664
-0.83758,-5310.70361
-0.83738,-5310.60156
-0.83718,-5310.49854
-0.83698,-5310.39453
-0.83678,-5310.29199
-0.83658,-5310.18945
-0.83638,-5310.08691
-0.83618,-5309.98340
-0.83598,-5309.87891
-0.83578,-5309.77686
-0.83558,-5309.67236
-0.83538,-5309.57031
-0.83518,-5309.46729
-0.83498,-5309.36279
-0.83478,-5309.25977
-0.83458,-5309.15576
-0.83438,-5309.05225
-0.83418,-5308.94922
-0.83398,-5308.84473
-0.83378,-5308.74121
-0.83358,-5308.63672
-0.83338,-5308.53418
-0.83318,-5308.42920
-0.83298,-5308.32617
-0.83278,-5308.22168
-0.83258,-5308.11768
-0.83238,-5308.01318
-0.83218,-5307.90918
-0.83198,-5307.80420
-0.83178,-5307.70117
-0.83158,-5307.59570
-0.83138,-5307.49219
-0.83118,-5307.38818
-0.83098,-5307.28223
-0.83078,-5307.17773
-0.83058,-5307.07275
-0.83038,-5306.96924
-0.83018,-5306.86523
-0.82998,-5306.75977
-0.82978,-5306.65527
-0.82958,-5306.54883
-0.82938,-5306.44531
-0.82918,-5306.33984
-0.82898,-5306.23535
-0.82878,-5306.12988
-0.82858,-5306.02441
-0.82838,-5305.91943
-0.82818,-5305.81348
-0.82798,-5305.70898
-0.82778,-5305.60303
-0.82758,-5305.49805
-0.82738,-5305.39209
-0.82718,-5305.28711
-0.82698,-5305.18115
-0.82678,-5305.07520
-0.82658,-5304.96973
-0.82638,-5304.86523
-0.82618,-5304.75879
-0.82598,-5304.65234
-0.82578,-5304.54688
-0.82558,-5304.43994
-0.82538,-5304.33447
-0.82518,-5304.22900
-0.82498,-5304.12207
-0.82478,-5304.01562
-0.82458,-5303.90918
-0.82438,-5303.80273
-0.82418,-5303.69727
-0.82398,-5303.59082
-0.82378,-5303.48438
-0.82358,-5303.37793
-0.82338,-5303.27051
-0.82318,-5303.16406
-0.82298,-5303.05859
-0.82278,-5302.95020
-0.82258,-5302.84375
-0.82238,-5302.73682
-0.82218,-5302.63086
-0.82198,-5302.52295
-0.82178,-5302.41699
-0.82158,-5302.30957
-0.82138,-5302.20215
-0.82118,-5302.09570
-0.82098,-5301.98828
-0.82078,-5301.87988
-0.82058,-5301.77344
-0.82038,-5301.66504
-0.82018,-5301.55762
-0.81998,-5301.45215
-0.81978,-5301.34375
-0.81958,-5301.23633
-0.81938,-5301.12793
-0.81918,-5301.02051
-0.81898,-5300.91211
-0.81878,-5300.80371
-0.81858,-5300.69629
-0.81838,-5300.58887
-0.81818,-5300.48047
-0.81798,-5300.37402
-0.81778,-5300.26465
-0.81758,-5300.15625
-0.81738,-5300.04883
-0.81718,-5299.93994
-0.81698,-5299.83203
-0.81678,-5299.72363
-0.81658,-5299.61426
-0.81638,-5299.50635
-0.81618,-5299.39746
-0.81598,-5299.28906
-0.81578,-5299.17969
-0.81558,-5299.07227
-0.81538,-5298.96289
-0.81518,-5298.85449
-0.81498,-5298.74512
-0.81478,-5298.63574
-0.81458,-5298.52686
-0.81438,-5298.41846
-0.81418,-5298.30957
-0.81398,-5298.19922
-0.81378,-5298.09082
-0.81358,-5297.98047
-0.81338,-5297.87256
-0.81318,-5297.76270
-0.81298,-5297.65283
-0.81278,-5297.54297
-0.81258,-5297.43457
-0.81238,-5297.32324
-0.81218,-5297.21484
-0.81198,-5297.10449
-0.81178,-5296.99512
-0.81158,-5296.88477
-0.81138,-5296.77539
-0.81118,-5296.66504
-0.81098,-5296.55469
-0.81078,-5296.44531
-0.81058,-5296.33594
-0.81038,-5296.22510
-0.81018,-5296.11475
-0.80998,-5296.00391
-0.80978,-5295.89355
-0.80958,-5295.78320
-0.80938,-5295.67285
-0.80918,-5295.56250
-0.80898,-5295.45166
-0.80878,-5295.34082
-0.80858,-5295.23047
-0.80838,-5295.12012
-0.80818,-5295.00879
-0.80798,-5294.89844
-0.80778,-5294.78711
-0.80758,-5294.67529
-0.80738,-5294.56543
-0.80718,-5294.45410
-0.80698,-5294.34326
-0.80678,-5294.23145
-0.80658,-5294.12012
-0.80638,-5294.00977
-0.80618,-5293.89746
-0.80598,-5293.78613
-0.80578,-5293.67480
-0.80558,-5293.56250
-0.80538,-5293.45117
-0.80518,-5293.33984
-0.80498,-5293.22754
-0.80478,-5293.11621
-0.80458,-5293.00488
-0.80438,-5292.89307
-0.80418,-5292.78027
-0.80398,-5292.66895
-0.80378,-5292.55664
-0.80358,-5292.44434
-0.80338,-5292.33252
-0.80318,-5292.21973
-0.80298,-5292.10840
-0.80278,-5291.99609
-0.80258,-5291.88232
-0.80238,-5291.77051
-0.80218,-5291.65820
-0.80198,-5291.54492
-0.80178,-5291.43262
-0.80158,-5291.32031
-0.80138,-5291.20703
-0.80118,-5291.09473
-0.80098,-5290.98145
-0.80078,-5290.86914
-0.80058,-5290.75488
-0.80038,-5290.64307
-0.80018,-5290.52979
-0.79998,-5290.41602
-0.79978,-5290.30322
-0.79958,-5290.18945
-0.79938,-5290.07715
-0.79918,-5289.96289
-0.79898,-5289.84863
-0.79878,-5289.73584
-0.79858,-5289.62207
-0.79838,-5289.50977
-0.79818,-5289.39502
-0.79798,-5289.28125
-0.79778,-5289.16699
-0.79758,-5289.05371
-0.79738,-5288.93994
-0.79718,-5288.82617
-0.79698,-5288.71191
-0.79678,-5288.59766
-0.79658,-5288.48340
-0.79638,-5288.36914
-0.79618,-5288.25488
-0.79598,-5288.14062
-0.79578,-5288.02637
-0.79558,-5287.91211
-0.79538,-5287.79736
-0.79518,-5287.68311
-0.79498,-5287.56836
-0.79478,-5287.45361
-0.79458,-5287.33887
-0.79438,-5287.22363
-0.79418,-5287.10938
-0.79398,-5286.99414
-0.79378,-5286.87891
-0.79358,-5286.76416
-0.79338,-5286.64844
-0.79318,-5286.53320
-0.79298,-5286.41895
-0.79278,-5286.30371
-0.79258,-5286.18750
-0.79238,-5286.07275
-0.79218,-5285.95703
-0.79198,-5285.84180
-0.79178,-5285.72607
-0.79158,-5285.61035
-0.79138,-5285.49414
-0.79118,-5285.37891
-0.79098,-5285.26318
-0.79078,-5285.14746
-0.79058,-5285.03223
-0.79038,-5284.91504
-0.79018,-5284.79980
-0.78998,-5284.68359
-0.78978,-5284.56738
-0.78958,-5284.45020
-0.78938,-5284.33447
-0.78918,-5284.21875
-0.78898,-5284.10156
-0.78878,-5283.98535
-0.78858,-5283.86816
-0.78838,-5283.75195
-0.78818,-5283.63574
-0.78798,-5283.51953
-0.78778,-5283.40137
-0.78758,-5283.28516
-0.78738,-5283.16797
-0.78718,-5283.05176
-0.78698,-5282.93457
-0.78678,-5282.81738
-0.78658,-5282.70068
-0.78638,-5282.58301
-0.78618,-5282.46582
-0.78598,-5282.34863
-0.78578,-5282.23096
-0.78558,-5282.11377
-0.78538,-5281.99512
